cust_id,year_of_birth,educational_status_code,marital_status,annual_income,full_name
20201845,1991,GD,Married,41883,Dularee Sundaram
20201877,1991,,Widowed,83837,Gita Upadhyay
20201906,1991,MS,Relationship,18890,Hira Kumar
20201947,1991,GD,Divorced,80134,Jayeeta Mandal
20202014,1991,MS,Married,70893,Mita Mittal
20202080,1991,GD,Relationship,30822,Nuren Narang
20202144,1991,GD,Single,30279,Raj Rout
20202110,1991,GD,Married,50437,Suruchi Shah
20202110,1991,GD,Married,50437,Tarangini Sodhi
20201776,1992,GD,Single,40246,Amita Bera
20201809,1992,GD,Single,38557,Aravinda Brar
20201846,1992,GD,Relationship,59809,Ehan Sunder
20201907,1992,,Married,29604,Hiraani Kumer
20201925,1992,GD,Widowed,63887,Jai Madan
20201948,1992,GD,Single,75027,Jayin Mander
20202081,1992,PH,Widowed,33581,Occhave Naran
20202111,1992,HS,Divorced,23616,Tarannum Solanki
20201777,1993,MS,Married,75251,Amithi Bhagat
20201949,1993,PH,Single,67546,Jeevan Mane
20202112,1993,GD,Relationship,53858,Pradeep Raju
20202082,1993,GD,Relationship,40217,Sumana Sengupta
20202146,1993,GD,Divorced,23295,Teja Sood
20201778,1994,GD,Divorced,75825,Amma Bhakta
20201811,1994,GD,Relationship,77298,Archana Buch
20201848,1994,GD,Relationship,38547,Ekanta Sur
20201880,1994,,Married,78497,Gopi Uppal
20201909,1994,GD,Single,44794,Hiral Kunda
20201950,1994,MS,Married,65176,Jinendra Mangal
20202017,1994,,Widowed,40321,Mitali Nita
20202113,1994,PH,Widowed,66465,Pradnya Ram
20202147,1994,MS,Divorced,42618,Raja Roy
20202083,1994,GD,Divorced,27421,Sumitra Seshadri
20201779,1995,HS,Relationship,,Amrit Bhalla
20201812,1995,PH,Divorced,68126,Arjun Buch
20201881,1995,PH,Widowed,51650,Gopinath Vaidya
20201928,1995,GD,Married,51537,Jaidev Madan
20201951,1995,,Divorced,31160,Jiva Mangat
20202084,1995,HS,Married,35688,Ojal Veer
20202114,1995,GD,Relationship,71182,Pramoda Rama
20202121,1995,PH,Divorced,37401,Prayaksh Ramaswamy
20202148,1995,GD,Single,81246,Rajan Sabharwal
20201780,1996,GD,Widowed,56046,Amrita Bhandari
20201850,1996,MS,Single,49605,Ekavali Sura
20201882,1996,,Single,16248,Govind Vala
20201952,1996,GD,Relationship,29938,Jui Mani
20202019,1996,GD,Married,30833,Mohan Kishore
20202085,1996,MS,Widowed,36143,Ojas Tyagi
20202149,1996,GD,Married,24027,Rajesh Sachar
20202115,1996,GD,Divorced,75072,Tarika Som
20201781,1997,GD,Relationship,64323,Anamika Bhardwaj
20201814,1997,GD,Married,86037,Arlet Bumb
20201953,1997,GD,Widowed,102692,Jute Mani
20202020,1997,GD,Divorced,,Mojil Roy
20202086,1997,GD,Single,10245,Omana Samuel
20202116,1997,PH,Married,75865,Pranav Ramachandran
20202150,1997,PH,Married,55707,Rajiv Sachdev
20201720,1998,HS,Married,33812,Jayadev Aurora
20201782,1998,GD,Divorced,26304,Anand Bhargava
20201852,1998,GD,Divorced,65747,Ekram Suresh
20201884,1998,,Relationship,30477,Guri Varghese
20201931,1998,GD,Single,37070,Jain Magar
20201954,1998,HS,Relationship,24712,Jyothi Mann
20202021,1998,GD,Relationship,64795,Monisha Chaudhary
20202087,1998,MS,Married,43795,Omanand Srivastava
20202117,1998,HS,Widowed,19789,Pranet Ramakrishnan
20202151,1998,GD,Single,57959,Rajni Sachdeva
20202040,1999,PH,Single,83532,Naresh Neel
20201816,1999,GD,Married,50785,Arnav Butala
20201853,1999,HS,Relationship,46344,Elaxi Suri
20201932,1999,HS,Relationship,81975,Jamuna Mahajan
20202022,1999,GD,Widowed,34421,Monita Charan
20202088,1999,GD,Divorced,63381,Oorjita Sudha
20202118,1999,GD,Single,80134,Pravar Raman
20202152,1999,GD,Married,56796,Rajnish Sagar
20201717,2000,GD,Married,41850,Dhritiman Arora
20201854,2000,GD,Widowed,34176,Eshana Swaminathan
20201886,2000,GD,Single,25271,Gurnam Varkey
20202023,2000,PH,Relationship,26476,Mrinal Nigam
20202089,2000,GD,Relationship,38823,Oormi Srivas
20202119,2000,GD,Single,91065,Taru Soman
20202153,2000,MS,Single,36230,Tejas Sridhar
